Temperature, Humidity, Date&Time
15.3C  ,94.9 %  ,2017-07-03 01:29
15.2C  ,94.9 %  ,2017-07-03 01:59
14.8C  ,94.9 %  ,2017-07-03 02:29
14.7C  ,95.0 %  ,2017-07-03 02:59
14.8C  ,95.0 %  ,2017-07-03 03:29
14.8C  ,95.0 %  ,2017-07-03 03:59
14.6C  ,95.0 %  ,2017-07-03 04:29
14.8C  ,95.0 %  ,2017-07-03 04:59
14.5C  ,95.0 %  ,2017-07-03 05:29
14.8C  ,95.0 %  ,2017-07-03 05:59
14.1C  ,95.0 %  ,2017-07-03 06:29
14.4C  ,95.0 %  ,2017-07-03 06:59
16.0C  ,90.8 %  ,2017-07-03 07:29
16.4C  ,90.0 %  ,2017-07-03 07:59
17.2C  ,89.9 %  ,2017-07-03 08:29
18.1C  ,87.2 %  ,2017-07-03 08:59
19.2C,81.0 %,2017-07-03 10:25
19.5C,81.8 %,2017-07-03 10:26
19.6C,81.8 %,2017-07-03 10:27
19.7C,81.6 %,2017-07-03 10:28
19.9C,79.6 %,2017-07-03 10:33
